2024-08-11 15:52:54 startup archives install
2024-08-11 15:52:54 install base-passwd:i386 <none> 3.5.47
2024-08-11 15:52:54 status half-installed base-passwd:i386 3.5.47
2024-08-11 15:52:54 status unpacked base-passwd:i386 3.5.47
2024-08-11 15:52:54 configure base-passwd:i386 3.5.47 3.5.47
2024-08-11 15:52:54 status half-configured base-passwd:i386 3.5.47
2024-08-11 15:52:55 status installed base-passwd:i386 3.5.47
2024-08-11 15:52:55 startup archives install
2024-08-11 15:52:55 install base-files:i386 <none> 11ubuntu5
2024-08-11 15:52:55 status half-installed base-files:i386 11ubuntu5
2024-08-11 15:52:55 status unpacked base-files:i386 11ubuntu5
2024-08-11 15:52:55 configure base-files:i386 11ubuntu5 11ubuntu5
2024-08-11 15:52:56 status half-configured base-files:i386 11ubuntu5
2024-08-11 15:52:56 status installed base-files:i386 11ubuntu5
2024-08-11 15:52:56 startup archives install
2024-08-11 15:52:57 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2024-08-11 15:52:57 status half-configured dpkg 1.19.7ubuntu3
2024-08-11 15:52:57 status unpacked dpkg 1.19.7ubuntu3
2024-08-11 15:52:57 status half-installed dpkg 1.19.7ubuntu3
2024-08-11 15:52:57 status unpacked dpkg:i386 1.19.7ubuntu3
2024-08-11 15:52:57 configure dpkg:i386 1.19.7ubuntu3 1.19.7ubuntu3
2024-08-11 15:52:58 status half-configured dpkg:i386 1.19.7ubuntu3
2024-08-11 15:52:58 status installed dpkg:i386 1.19.7ubuntu3
2024-08-11 15:52:59 startup archives install
2024-08-11 15:52:59 install libc6:i386 <none> 2.31-0ubuntu9
2024-08-11 15:52:59 status half-installed libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:00 status unpacked libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:00 configure libc6:i386 2.31-0ubuntu9 2.31-0ubuntu9
2024-08-11 15:53:00 status half-configured libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:00 status installed libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:01 startup archives install
2024-08-11 15:53:01 install perl-base:i386 <none> 5.30.0-9build1
2024-08-11 15:53:01 status half-installed perl-base:i386 5.30.0-9build1
2024-08-11 15:53:01 status unpacked perl-base:i386 5.30.0-9build1
2024-08-11 15:53:01 configure perl-base:i386 5.30.0-9build1 5.30.0-9build1
2024-08-11 15:53:02 status half-configured perl-base:i386 5.30.0-9build1
2024-08-11 15:53:02 status installed perl-base:i386 5.30.0-9build1
2024-08-11 15:53:02 startup archives install
2024-08-11 15:53:02 install mawk:i386 <none> 1.3.4.20200120-2
2024-08-11 15:53:02 status half-installed mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:02 status unpacked mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:02 configure mawk:i386 1.3.4.20200120-2 1.3.4.20200120-2
2024-08-11 15:53:02 status half-configured mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:02 status installed mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:02 startup archives install
2024-08-11 15:53:03 install debconf:all <none> 1.5.73
2024-08-11 15:53:03 status half-installed debconf:all 1.5.73
2024-08-11 15:53:03 status unpacked debconf:all 1.5.73
2024-08-11 15:53:03 configure debconf:all 1.5.73 1.5.73
2024-08-11 15:53:03 status half-configured debconf:all 1.5.73
2024-08-11 15:53:04 status installed debconf:all 1.5.73
2024-08-11 15:53:04 startup archives unpack
2024-08-11 15:53:04 upgrade base-files:i386 11ubuntu5 11ubuntu5
2024-08-11 15:53:04 status half-configured base-files:i386 11ubuntu5
2024-08-11 15:53:04 status unpacked base-files:i386 11ubuntu5
2024-08-11 15:53:04 status half-installed base-files:i386 11ubuntu5
2024-08-11 15:53:05 status unpacked base-files:i386 11ubuntu5
2024-08-11 15:53:05 upgrade base-passwd:i386 3.5.47 3.5.47
2024-08-11 15:53:05 status half-configured base-passwd:i386 3.5.47
2024-08-11 15:53:05 status unpacked base-passwd:i386 3.5.47
2024-08-11 15:53:05 status half-installed base-passwd:i386 3.5.47
2024-08-11 15:53:05 status unpacked base-passwd:i386 3.5.47
2024-08-11 15:53:06 install bash:i386 <none> 5.0-6ubuntu1
2024-08-11 15:53:06 status half-installed bash:i386 5.0-6ubuntu1
2024-08-11 15:53:06 status unpacked bash:i386 5.0-6ubuntu1
2024-08-11 15:53:06 install bsdutils:i386 <none> 1:2.34-0.1ubuntu9
2024-08-11 15:53:06 status half-installed bsdutils:i386 1:2.34-0.1ubuntu9
2024-08-11 15:53:06 status unpacked bsdutils:i386 1:2.34-0.1ubuntu9
2024-08-11 15:53:07 install coreutils:i386 <none> 8.30-3ubuntu2
2024-08-11 15:53:07 status half-installed coreutils:i386 8.30-3ubuntu2
2024-08-11 15:53:07 status unpacked coreutils:i386 8.30-3ubuntu2
2024-08-11 15:53:07 install dash:i386 <none> 0.5.10.2-6
